config_index,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,GRADIENT_CLIP,mean_epoch,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_specificity,mean_roc_auc,mean_ap,mean_early_stop_ap,std_accuracy,std_precision,std_recall,std_f1,std_specificity,std_roc_auc,std_ap,std_early_stop_ap
34,128,6,0.0,64,0.001,1e-05,5.0,31.25,0.9016666666666667,0.554581956653502,0.8431732810713702,0.6674030858413088,0.9093148404778855,0.9273890768257862,0.7897354837184152,0.7897354837184152,0.020208107949190722,0.0639941227425974,0.012667551023251135,0.045720414491926764,0.023232937693764492,0.017799984979208247,0.03469599066954551,0.03469599066954551
35,128,6,0.1,64,0.001,1e-05,5.0,33.25,0.893888888888889,0.5368423295491461,0.806426588273722,0.64169108108995,0.9053452158810257,0.9136243763034468,0.7562230803682799,0.7562230803682799,0.027764605930541846,0.07516825286203664,0.013662061782866022,0.05342279395625875,0.03290229498232282,0.014213419048180386,0.019527824136387695,0.019527824136387695
36,128,6,0.3,64,0.001,1e-05,5.0,33.0,0.9031481481481481,0.5626839556175873,0.7952188469704393,0.656456667786707,0.9172812933064316,0.9087448829881629,0.7436571841320168,0.7436571841320168,0.014595600366843004,0.05349317879558959,0.05036152063657009,0.02726539938071359,0.02151600633513959,0.012247320290907757,0.03094435196751775,0.03094435196751775
37,128,7,0.0,64,0.001,1e-05,5.0,39.75,0.895,0.5317651110668674,0.839957945451576,0.6502589195500155,0.9021974920705791,0.9219050948657082,0.7700090192927075,0.7700090192927075,0.012634281030431505,0.03785907707757673,0.02192129062814432,0.023629132669674778,0.01644392307099527,0.005333780455828995,0.018643292887678575,0.018643292887678575
38,128,7,0.1,64,0.001,1e-05,5.0,36.5,0.9009259259259259,0.5682256565020882,0.7951678098971093,0.6568636802267709,0.914764869331289,0.9155433888239317,0.768755644538316,0.768755644538316,0.03364395735468358,0.10282356852128868,0.0320798738984175,0.06414929363234517,0.041652947729737815,0.013550187575418642,0.02172227270192875,0.02172227270192875
39,128,7,0.3,64,0.001,1e-05,5.0,31.5,0.8924074074074073,0.5306286885095919,0.7967499591703413,0.6345193961024431,0.9049225942509418,0.9102731395251482,0.7408579094689156,0.7408579094689156,0.023829719046409632,0.06423865930848113,0.029701455611509088,0.0443915897647288,0.029092412523504405,0.006177669774524901,0.01952348800322251,0.01952348800322251
40,128,8,0.0,64,0.001,1e-05,5.0,32.0,0.8981481481481483,0.541466953704116,0.8527886656867548,0.6611771633834145,0.9040803346152388,0.9290155468571386,0.7722469550911729,0.7722469550911729,0.015892874115312667,0.04894206157622482,0.009285643474309801,0.03312781136424359,0.01915580857544822,0.01143671157594245,0.02289506163693056,0.02289506163693056
41,128,8,0.1,64,0.001,1e-05,5.0,44.0,0.9031481481481481,0.5591466708099884,0.7871549893842886,0.6532861000031069,0.9183257373764603,0.9036316148164278,0.7564892859685739,0.7564892859685739,0.010288477358024998,0.03522658267946714,0.03594808182642838,0.029422718579077238,0.011068938418128746,0.020506635190707095,0.03323500900793409,0.03323500900793409
42,128,8,0.3,64,0.001,1e-05,5.0,41.25,0.9114814814814816,0.5940639269406393,0.7680058794708475,0.668708209693373,0.93026585147026,0.9122374703083432,0.7486463785710471,0.7486463785710471,0.012417077492029777,0.05318017666316224,0.015891813715471347,0.030975378891781633,0.015109562138309947,0.011703906818543964,0.02624755960672525,0.02624755960672525
43,128,9,0.0,64,0.001,1e-05,5.0,52.5,0.8987037037037038,0.5426601734913393,0.7810101257553487,0.6402520552013004,0.9141342715252709,0.9045374414382861,0.7470046807386148,0.7470046807386148,0.01679783773399789,0.04993670890575779,0.08976677247219712,0.06475012966722532,0.007691157925205429,0.05248977245960719,0.071631093379245,0.071631093379245
44,128,9,0.1,64,0.001,1e-05,5.0,56.5,0.9005555555555556,0.5530535282894096,0.7774783602809081,0.6446087516212896,0.9166445527441622,0.8916801089237615,0.7224263697228451,0.7224263697228451,0.010976551471800119,0.038392408756374195,0.051309924469274036,0.01978809226023618,0.017451854605926628,0.02551287481265776,0.07063482506533197,0.07063482506533197
