iter	Passed	Remaining
676	5238	2499
677	5251	2494
678	5262	2487
679	5270	2480
680	5276	2471
681	5284	2464
682	5291	2455
683	5297	2447
684	5304	2439
685	5310	2430
686	5317	2422
687	5324	2414
688	5331	2406
689	5337	2397
690	5343	2389
691	5351	2381
692	5359	2374
693	5365	2365
694	5377	2360
695	5387	2353
696	5395	2345
697	5403	2337
698	5414	2331
699	5423	2324
700	5436	2318
701	5443	2310
702	5450	2302
703	5458	2294
704	5464	2286
705	5471	2278
706	5478	2270
707	5486	2262
708	5493	2254
709	5500	2246
710	5507	2238
711	5515	2230
712	5522	2222
713	5527	2214
714	5533	2205
715	5540	2197
716	5545	2188
717	5551	2180
718	5558	2172
719	5563	2163
720	5570	2155
721	5577	2147
722	5583	2139
723	5593	2132
724	5606	2126
725	5618	2120
726	5626	2112
727	5633	2104
728	5645	2098
729	5653	2090
730	5667	2085
731	5678	2078
732	5689	2072
733	5701	2066
734	5713	2059
735	5721	2052
736	5727	2043
737	5733	2035
738	5741	2027
739	5748	2019
740	5756	2012
741	5763	2003
742	5772	1996
743	5777	1987
744	5784	1979
745	5791	1971
746	5799	1964
747	5810	1957
748	5824	1951
749	5831	1943
750	5838	1935
751	5846	1927
752	5851	1919
753	5859	1911
754	5867	1903
755	5872	1895
756	5879	1887
757	5891	1880
758	5903	1874
759	5911	1866
760	5917	1858
761	5934	1853
762	5942	1845
763	5949	1837
764	5957	1830
765	5964	1822
766	5970	1813
767	5978	1805
768	5986	1798
769	5993	1790
770	6000	1782
771	6007	1774
772	6014	1766
773	6020	1757
774	6033	1751
775	6041	1743
776	6046	1735
777	6054	1727
778	6061	1719
779	6068	1711
780	6082	1705
781	6097	1699
782	6110	1693
783	6121	1686
784	6129	1678
785	6135	1670
786	6142	1662
787	6148	1654
788	6153	1645
789	6160	1637
790	6169	1630
791	6176	1622
792	6184	1614
793	6192	1606
794	6208	1600
795	6217	1593
796	6230	1586
797	6238	1579
798	6245	1571
799	6253	1563
800	6259	1555
801	6272	1548
802	6279	1540
803	6285	1532
804	6299	1525
805	6309	1518
806	6317	1510
807	6324	1502
808	6338	1496
809	6347	1488
810	6354	1480
811	6361	1472
812	6374	1466
813	6383	1458
814	6393	1451
815	6400	1443
816	6407	1435
817	6413	1427
818	6420	1418
819	6428	1411
820	6435	1403
821	6441	1394
822	6447	1386
823	6455	1378
824	6462	1370
825	6475	1364
826	6482	1356
