iter	MAE	RMSE
566	38657.23809	201436.3294
567	38660.18278	201356.534
568	38630.31743	200876.7599
569	38628.06442	200827.0415
570	38635.3293	200698.8534
571	38610.40032	200552.9843
572	38580.81907	200253.5709
573	38582.9007	200208.0747
574	38561.0889	200112.9731
575	38527.32594	199702.9846
576	38509.39271	199444.5485
577	38501.9037	199362.8331
578	38471.61429	199262.1443
579	38452.7972	199145.8329
580	38441.88663	198951.4897
581	38408.2501	198766.2694
582	38390.23487	198618.8456
583	38400.14924	198469.6945
584	38363.03307	197904.3742
585	38354.28029	197797.6356
586	38342.09617	197707.9999
587	38317.17631	197396.4913
588	38253.78789	197009.0317
589	38254.71186	196907.904
590	38249.54998	196854.4652
591	38247.76255	196747.6994
592	38239.03112	196663.0781
593	38230.91376	196492.9203
594	38187.02157	196212.0271
595	38185.6246	196152.5964
596	38139.17615	195370.5729
597	38135.64045	195344.0929
598	38128.39878	195187.589
599	38114.89497	194940.4657
600	38112.20036	194847.2216
601	38086.53333	194653.2502
602	38075.95975	194590.4765
603	38031.82152	194022.6136
604	38005.44998	193728.1862
605	37993.72579	193658.3183
606	37976.88662	193568.4931
607	37965.51741	193468.4797
608	37939.94912	192935.4764
609	37935.41862	192841.8182
610	37904.99686	192704.9841
611	37873.80679	192577.0967
612	37863.24196	192490.8843
613	37851.72068	192379.6216
614	37828.09357	192185.4974
615	37830.5297	192126.3448
616	37819.92099	192025.4439
617	37803.98852	191826.4932
618	37786.64422	191696.9815
619	37771.97358	191520.7345
620	37755.83767	191443.8575
621	37739.69177	191207.1523
622	37744.2638	191122.7493
623	37722.93493	190977.9616
624	37708.84848	190830.8907
625	37687.14304	190113.3871
626	37657.7237	190003.3511
627	37647.61052	189923.5823
628	37641.37101	189864.4847
629	37641.7482	189762.805
630	37645.027	189683.1645
631	37639.85593	189506.6849
632	37620.26821	189416.657
633	37614.11985	189378.994
634	37605.46347	189289.4704
635	37594.12876	189162.5588
636	37562.89596	188908.2751
637	37542.99005	188766.1984
638	37538.74593	188721.942
639	37530.60158	188676.9186
640	37520.778	188625.5519
641	37512.10616	188479.9567
642	37488.92582	188357.6387
643	37467.98681	188154.5661
644	37450.30097	188078.11
645	37440.78743	187981.0063
646	37426.29483	187868.0302
647	37401.36048	187746.4213
648	37374.90388	187646.9927
649	37355.0229	187130.0588
650	37352.57395	187044.3111
651	37349.35498	186926.6157
652	37342.74711	186873.5019
653	37333.32451	186710.9587
654	37330.13571	186645.7846
655	37311.45295	186617.8133
656	37297.60933	186246.3272
657	37266.82245	186125.5208
658	37234.06706	185981.7753
659	37215.586	185754.9132
660	37207.52369	185724.875
661	37185.58475	185572.0714
662	37173.10364	185151.339
663	37169.76863	185105.6944
664	37161.40637	185038.0481
665	37154.96525	184983.9194
666	37144.3246	184822.8446
667	37118.41541	184296.7582
668	37108.07282	183662.3528
669	37084.23834	183450.3098
670	37080.53175	183341.4628
671	37063.31248	183254.8754
672	37055.27623	183122.7927
673	37039.88818	183056.241
674	37034.88825	182939.1529
675	37025.33019	182831.6721
676	36992.73054	182722.1822
677	36959.84425	182348.6011
678	36945.72729	182259.3369
679	36910.31121	182079.9833
680	36901.31755	182004.5953
681	36874.63732	181873.1565
682	36847.12417	181379.1196
683	36819.60201	180981.3926
684	36813.93891	180700.5662
685	36794.99874	180597.1003
686	36754.4044	180420.2908
687	36715.41454	180151.7347
688	36677.08007	179984.0297
689	36670.35695	179881.7126
690	36648.63207	179592.8837
691	36626.69765	179441.3515
692	36612.78107	179195.1983
693	36578.32268	178978.0161
694	36573.34964	178834.1899
695	36550.00194	178744.337
696	36543.22464	178703.8157
697	36538.58737	178651.9636
698	36534.1236	178543.8049
699	36516.08575	178491.8701
700	36482.59931	178321.5142
701	36464.47428	178170.7158
702	36443.18108	177988.2561
703	36433.40066	177498.1019
704	36424.08128	177402.2085
705	36403.01393	177308.8793
706	36394.46992	177088.0038
