iter	Passed	Remaining
446	54259	67125
447	54371	66993
448	54486	66864
449	54601	66735
450	54728	66621
451	54856	66507
452	54976	66384
453	55091	66255
454	55207	66127
455	55314	65988
456	55424	65853
457	55533	65718
458	55653	65595
459	55767	65465
460	55915	65376
461	56036	65254
462	56145	65118
463	56269	65000
464	56390	64879
465	56500	64744
466	56621	64623
467	56742	64501
468	56848	64364
469	56970	64243
470	57088	64118
471	57203	63990
472	57320	63864
473	57433	63734
474	57560	63619
475	57682	63498
476	57793	63367
477	57911	63241
478	58035	63123
479	58148	62993
480	58268	62871
481	58395	62756
482	58512	62631
483	58662	62540
484	58780	62416
485	58902	62295
486	59015	62165
487	59142	62051
488	59266	61933
489	59390	61815
490	59503	61684
491	59633	61572
492	59756	61453
493	59867	61321
494	59983	61195
495	60103	61073
496	60224	60951
497	60336	60820
498	60454	60696
499	60583	60583
500	60708	60466
501	60819	60334
502	60956	60229
503	61084	60115
504	61204	59992
505	61321	59867
506	61447	59750
507	61572	59632
508	61691	59510
509	61807	59383
510	61920	59254
511	62040	59132
512	62157	59007
513	62276	58883
514	62389	58755
515	62505	58628
516	62631	58512
517	62759	58397
518	62875	58272
519	62990	58144
520	63095	58009
521	63210	57882
522	63325	57755
523	63443	57631
524	63565	57511
525	63687	57390
526	63803	57265
527	63927	57146
528	64067	57043
529	64187	56921
530	64297	56790
531	64425	56674
532	64551	56558
533	64675	56439
534	64795	56317
535	64922	56201
536	65044	56081
537	65150	55947
538	65264	55819
539	65379	55693
540	65501	55573
541	65621	55451
542	65734	55323
543	65864	55209
544	65986	55089
545	66094	54957
546	66214	54836
547	66334	54713
548	66465	54600
549	66578	54473
550	66685	54340
551	66803	54217
552	66925	54097
553	67042	53972
554	67166	53854
555	67284	53730
556	67408	53612
557	67533	53494
558	67645	53365
559	67752	53234
560	67867	53108
561	67974	52976
562	68097	52856
563	68210	52730
564	68319	52599
565	68473	52504
566	68596	52385
567	68704	52254
568	68830	52137
569	68958	52021
570	69068	51892
571	69182	51765
572	69298	51641
573	69421	51521
574	69546	51403
575	69654	51273
576	69763	51143
577	69878	51018
578	70001	50899
579	70115	50773
580	70241	50655
581	70361	50534
582	70472	50406
583	70600	50290
584	70723	50171
585	70843	50049
586	70965	49930
587	71075	49801
588	71175	49665
589	71291	49541
590	71409	49418
591	71521	49292
592	71644	49172
593	71751	49042
594	71871	48920
595	71984	48795
596	72099	48670
597	72218	48548
598	72340	48428
599	72453	48302
600	72580	48185
601	72702	48065
602	72817	47941
603	72944	47824
604	73053	47695
605	73172	47574
606	73294	47453
607	73422	47338
608	73593	47249
609	73732	47140
610	73854	47020
611	73975	46899
612	74088	46773
613	74205	46650
614	74336	46535
615	74452	46411
616	74569	46288
617	74694	46170
618	74810	46046
619	74917	45916
620	75037	45796
621	75149	45669
622	75264	45545
623	75370	45415
624	75490	45294
625	75613	45174
626	75723	45047
627	75835	44921
628	75950	44797
629	76062	44671
630	76173	44545
631	76289	44421
632	76404	44297
633	76516	44171
634	76629	44046
635	76750	43926
636	76866	43803
637	76982	43679
638	77095	43554
639	77215	43433
640	77331	43310
641	77449	43188
642	77557	43060
643	77673	42937
644	77788	42813
645	77905	42691
646	78015	42564
647	78120	42435
648	78233	42310
649	78354	42191
650	78469	42067
651	78602	41953
652	78725	41834
653	78859	41720
654	78976	41598
655	79098	41478
656	79218	41357
657	79334	41234
658	79443	41108
659	79557	40984
660	79673	40861
661	79784	40735
662	79901	40613
663	80013	40488
664	80122	40362
665	80247	40244
666	80361	40120
667	80471	39994
668	80582	39869
669	80704	39749
670	80826	39630
671	80936	39504
672	81067	39389
673	81180	39265
674	81304	39146
675	81417	39022
676	81531	38898
677	81658	38781
678	81769	38656
679	81884	38534
680	81996	38409
681	82116	38289
682	82249	38174
683	82371	38054
684	82494	37935
685	82615	37815
686	82729	37691
687	82845	37569
688	82962	37447
689	83084	37327
690	83210	37210
691	83344	37095
692	83472	36978
693	83599	36860
694	83745	36751
695	83885	36639
696	84020	36525
697	84146	36407
698	84260	36283
699	84382	36163
700	84498	36041
701	84613	35918
702	84739	35800
703	84857	35678
704	84973	35556
705	85078	35429
706	85203	35310
707	85312	35185
708	85423	35060
709	85544	34940
710	85654	34815
711	85760	34689
712	85874	34566
713	85987	34443
714	86108	34322
715	86224	34200
716	86358	34085
717	86473	33963
718	86584	33838
719	86693	33714
720	86805	33590
721	86921	33468
722	87032	33344
723	87151	33223
724	87274	33104
725	87386	32980
726	87496	32856
727	87618	32736
728	87737	32615
729	87853	32493
730	87980	32375
731	88104	32256
732	88215	32132
733	88358	32020
734	88509	31911
735	88640	31795
736	88761	31674
737	88873	31551
738	89005	31434
739	89138	31318
740	89245	31193
741	89355	31069
742	89470	30947
743	89580	30823
744	89695	30701
745	89810	30579
746	89921	30455
747	90040	30334
748	90160	30214
749	90278	30092
750	90389	29969
751	90508	29848
752	90623	29726
753	90739	29604
754	90855	29482
755	90980	29364
756	91114	29248
757	91224	29124
758	91346	29004
759	91466	28884
760	91579	28761
761	91694	28639
762	91806	28516
763	91920	28394
764	92077	28285
765	92206	28167
766	92336	28050
767	92449	27927
768	92558	27803
769	92675	27682
770	92822	27569
771	92952	27452
772	93110	27342
773	93259	27230
774	93380	27110
775	93499	26989
776	93624	26870
777	93734	26746
778	93864	26628
779	93981	26507
780	94113	26390
781	94233	26269
782	94355	26149
783	94468	26026
784	94591	25907
785	94707	25785
786	94819	25662
787	94941	25542
788	95065	25423
789	95180	25301
790	95295	25179
791	95409	25056
792	95528	24936
793	95652	24816
794	95767	24694
795	95885	24573
796	96009	24454
797	96144	24337
798	96264	24216
799	96379	24094
800	96488	23971
801	96600	23848
802	96715	23727
803	96837	23607
804	96955	23486
805	97070	23364
806	97182	23242
807	97298	23120
808	97414	22998
809	97549	22881
810	97686	22765
811	97820	22648
812	97951	22530
813	98077	22410
814	98210	22293
815	98337	22174
816	98454	22052
817	98578	21933
818	98692	21811
819	98805	21688
820	98908	21564
821	99030	21444
822	99149	21323
823	99255	21200
824	99380	21080
825	99500	20960
826	99614	20838
827	99725	20715
828	99846	20595
829	99971	20476
830	100099	20357
831	100224	20237
832	100348	20117
833	100466	19996
834	100587	19876
835	100697	19754
836	100814	19632
837	100936	19512
838	101052	19391
839	101167	19269
840	101281	19148
841	101416	19030
842	101544	18911
843	101658	18789
844	101776	18669
845	101906	18550
846	102027	18429
847	102158	18311
848	102276	18190
849	102406	18071
850	102522	17950
851	102642	17829
852	102759	17708
853	102889	17589
854	103007	17469
855	103142	17351
856	103298	17236
857	103424	17116
858	103541	16995
859	103667	16876
860	103824	16761
861	103963	16643
862	104090	16524
863	104204	16402
864	104323	16281
865	104446	16161
866	104567	16040
867	104683	15919
868	104798	15798
869	104916	15677
870	105027	15555
871	105144	15434
872	105262	15313
873	105390	15193
874	105505	15072
875	105628	14952
876	105748	14831
877	105871	14711
878	105992	14590
879	106107	14469
880	106224	14348
881	106347	14227
882	106509	14112
